,,,,,,,,
,LBE,Election Day,,Early Voting,Vote By Mail,Provisional,Eligible Voters,TURNOUT
,Cecil,"3,497",,839,870,112,"16,360",32.51%
,Charles,"4,162",,"1,203","1,345",218,"21,819",31.75%
,Dorchester,818,,168,211,28,"3,745",32.71%
,Frederick,"12,734",,"2,730","4,072",581,"48,035",41.88%
,Garrett,620,,180,143,29,"2,791",34.83%
,Harford,"10,162",,"2,894","3,098",378,"40,778",40.54%
,Howard,"14,978",,"4,608","5,975",702,"56,199",46.73%
,Kent,682,,248,201,37,"2,565",45.54%
,Montgomery,"31,256",,"8,422","17,627","2,682","156,978",38.21%
,Prince George's,"11,909",,"3,202","6,026","1,391","85,143",26.46%
,Queen Anne's,"2,115",,760,570,87,"7,916",44.62%
,Saint Mary's,"3,567",,"1,228","1,155",142,"16,756",36.36%
,Somerset,448,,119,132,14,"2,299",31.01%
,Talbot,"1,361",,662,714,58,"5,582",50.07%
,Washington,"4,706",,871,"1,647",183,"21,976",33.70%
,Wicomico,"2,708",,684,789,123,"13,406",32.11%
,Worcester,"2,219",,529,721,107,"8,372",42.71%
,TOTAL,"171,544",,"45,820","74,695","10,843","826,676",36.64%
