County,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,Turnout Percentage,Party,Year
Prince George's,541,1324,1994,211,11179,36.41,Other,2020
Queen Anne's,36,86,61,5,280,67.14,Other,2020
Saint Mary's,110,132,133,7,606,63.04,Other,2020
Somerset,10,31,15,4,94,63.83,Other,2020
Talbot,20,73,78,5,248,70.97,Other,2020
Washington,150,93,223,15,875,54.97,Other,2020
Wicomico,92,136,122,18,646,56.97,Other,2020
Worcester,55,131,114,16,440,71.82,Other,2020
Allegany,1772,1096,1143,169,7674,54.47,Unaffiliated,2020
Anne Arundel,9041,20898,29588,2246,90162,68.51,Unaffiliated,2020
Baltimore City,3983,6119,13414,1796,52450,48.26,Unaffiliated,2020
Baltimore County,10791,18921,30274,2319,100576,61.95,Unaffiliated,2020
Calvert,2578,2317,3836,118,14178,62.41,Unaffiliated,2020
Caroline,838,1068,622,86,4208,62.12,Unaffiliated,2020
Carroll,5244,5679,6778,393,25770,70.21,Unaffiliated,2020
Cecil,3179,2623,2649,212,15110,57.33,Unaffiliated,2020
Charles,2189,4917,5157,512,19849,64.36,Unaffiliated,2020
Dorchester,569,774,555,36,3348,57.77,Unaffiliated,2020
Frederick,6192,10240,12910,922,42961,70.45,Unaffiliated,2020
Garrett,336,792,423,55,2600,61.77,Unaffiliated,2020
Harford,5457,11157,9205,794,37942,70.14,Unaffiliated,2020
Howard,4230,12776,20975,1112,51909,75.31,Unaffiliated,2020
Kent,339,650,539,56,2293,69.08,Unaffiliated,2020
Montgomery,10340,26873,65497,4262,147417,72.56,Unaffiliated,2020
Prince George's,5955,14108,23677,2815,78012,59.68,Unaffiliated,2020
Queen Anne's,893,2516,1566,161,7133,72,Unaffiliated,2020
Saint Mary's,2556,3516,4079,254,15661,66.44,Unaffiliated,2020
Somerset,376,470,303,71,2048,59.57,Unaffiliated,2020
Talbot,562,1490,1517,69,5122,71.03,Unaffiliated,2020
Washington,4615,2630,3811,386,20509,55.79,Unaffiliated,2020
Wicomico,1952,2762,2325,293,12291,59.65,Unaffiliated,2020
Worcester,1327,1981,1602,211,7565,67.69,Unaffiliated,2020
Allegany,18201,7198,5634,1350,43446,74.54,Statewide,2024
Anne Arundel,113836,101527,83956,12766,412520,75.65,Statewide,2024
Baltimore City,94276,52947,61925,23501,399506,58.23,Statewide,2024
Baltimore County,157715,126138,109336,21153,575365,72.01,Statewide,2024
Calvert,16923,23150,12624,1495,69361,78.13,Statewide,2024
Caroline,8212,5486,2169,361,21960,73.9,Statewide,2024
Carroll,44504,34983,21077,2423,129250,79.68,Statewide,2024
Cecil,23492,18168,9500,1570,72451,72.78,Statewide,2024
Charles,34439,34722,18752,4062,125108,73.52,Statewide,2024
Dorchester,8273,5095,3040,404,23672,71.02,Statewide,2024
Frederick,67950,46371,36857,5191,203331,76.9,Statewide,2024
Garrett,7746,5314,2471,329,20549,77.18,Statewide,2024
Harford,63573,55356,27661,3655,192898,77.89,Statewide,2024
Howard,67918,59647,48856,6297,236641,77.21,Statewide,2024
Kent,4922,3609,2306,335,14126,79.09,Statewide,2024
Montgomery,172134,154582,166773,27433,683515,76.21,Statewide,2024
Prince George's,128147,148969,99166,28688,610390,66.35,Statewide,2024
Queen Anne's,12137,13737,5743,791,40876,79.28,Statewide,2024
Saint Mary's,22196,23845,11060,1690,76628,76.72,Statewide,2024
Somerset,4432,3617,1486,608,14302,70.92,Statewide,2024
Talbot,7687,9282,5382,570,28508,80.4,Statewide,2024
Washington,31309,25012,14431,2479,100648,72.76,Statewide,2024
Wicomico,20046,16286,8598,1866,66274,70.61,Statewide,2024
Worcester,15066,9904,6980,976,43247,76.13,Statewide,2024
Allegany,3648,1617,2459,423,10812,75.35,Democrat,2024
Anne Arundel,41513,41455,46309,5657,172652,78.15,Democrat,2024
Baltimore City,71900,44453,51803,17399,298865,62.09,Democrat,2024
Baltimore County,76310,68533,71054,11990,306847,74.27,Democrat,2024
Calvert,5005,6737,6288,511,23494,78.92,Democrat,2024
Caroline,1845,1284,989,95,5936,70.97,Democrat,2024
Carroll,8866,7955,9401,709,33091,81.38,Democrat,2024
Cecil,5065,3880,3962,418,19013,70.08,Democrat,2024
Charles,20054,21662,12999,2580,75333,76.06,Democrat,2024
Dorchester,2607,1896,1730,164,9551,66.98,Democrat,2024
Frederick,22842,16473,20986,2212,78431,79.7,Democrat,2024
Garrett,947,763,921,41,3451,77.43,Democrat,2024
Harford,17820,17184,13343,1421,64081,77.66,Democrat,2024
Howard,31930,32407,30788,3438,122630,80.37,Democrat,2024
Kent,1504,1543,1378,138,5719,79.79,Democrat,2024
Montgomery,96738,96019,115788,15847,403843,80.33,Democrat,2024
Prince George's,94605,123541,81657,20913,455749,70.37,Democrat,2024
Queen Anne's,2645,3278,2606,228,11165,78.43,Democrat,2024
Saint Mary's,6217,6549,5330,593,24789,75.39,Democrat,2024
Somerset,1436,1103,745,336,5326,67.97,Democrat,2024
Talbot,2340,3166,2842,244,10534,81.56,Democrat,2024
Washington,8039,6275,6964,836,30537,72.42,Democrat,2024
Wicomico,6528,5950,4602,795,25881,69.07,Democrat,2024
Worcester,4176,2487,3259,307,13586,75.29,Democrat,2024
Allegany,11199,4578,2303,549,23016,80.94,Republican,2024
Anne Arundel,42244,39713,18829,3332,129077,80.66,Republican,2024
Baltimore City,7463,2969,3167,1585,29211,51.98,Republican,2024
Baltimore County,46758,38175,20212,4174,139293,78.48,Republican,2024
Calvert,7519,11954,3798,586,28397,84.01,Republican,2024
Caroline,4620,3419,764,179,10830,82.94,Republican,2024
Carroll,24808,20781,7442,1035,63932,84.57,Republican,2024
Cecil,13002,11335,3688,736,34984,82.21,Republican,2024
Charles,7229,7860,2861,601,23363,79.4,Republican,2024
Dorchester,4283,2546,898,146,9456,83.26,Republican,2024
Frederick,26772,19903,8070,1425,68686,81.78,Republican,2024
Garrett,5745,3992,1217,228,13758,81.28,Republican,2024
Harford,30493,28370,8620,1209,80972,84.83,Republican,2024
Howard,16779,13998,7186,1035,48498,80.41,Republican,2024
Kent,2418,1519,576,114,5411,85.51,Republican,2024
Montgomery,28650,26037,17805,3757,98946,77.06,Republican,2024
Prince George's,9691,8190,5233,2020,40327,62.33,Republican,2024
Queen Anne's,6690,8138,2008,353,20302,84.67,Republican,2024
Saint Mary's,10443,12883,3429,636,32638,83.92,Republican,2024
Somerset,2254,2091,520,116,6201,80.33,Republican,2024
Talbot,3682,4606,1492,169,11597,85.79,Republican,2024
Washington,16103,14338,4689,905,44553,80.88,Republican,2024
Wicomico,8992,7697,2496,558,24188,81.62,Republican,2024
Worcester,7749,5745,2452,436,19748,82.96,Republican,2024
Allegany,24,3,8,8,63,68.25,NLM,2024
Anne Arundel,167,91,155,42,699,65.09,NLM,2024
Baltimore City,135,40,113,103,698,56.02,NLM,2024
Baltimore County,188,78,174,83,864,60.53,NLM,2024
Calvert,23,14,32,5,95,77.89,NLM,2024
Caroline,11,2,2,1,31,51.61,NLM,2024
Carroll,27,18,25,5,122,61.48,NLM,2024
Cecil,31,8,29,4,126,57.14,NLM,2024
Charles,36,20,37,19,160,70,NLM,2024
Dorchester,8,3,3,0,30,46.67,NLM,2024
Frederick,68,28,80,14,274,69.34,NLM,2024
Garrett,6,3,3,2,24,58.33,NLM,2024
Harford,81,32,49,11,276,62.68,NLM,2024
Howard,85,47,77,29,346,68.79,NLM,2024
Kent,4,3,3,4,21,66.67,NLM,2024
Montgomery,223,122,319,76,1053,70.28,NLM,2024
Prince George's,225,124,211,122,1068,63.86,NLM,2024
Queen Anne's,13,8,11,2,48,70.83,NLM,2024
Saint Mary's,26,13,23,8,107,65.42,NLM,2024
Somerset,7,0,1,5,19,68.42,NLM,2024
Talbot,3,7,6,0,32,50,NLM,2024
Washington,35,15,30,6,149,57.72,NLM,2024
Wicomico,24,14,14,12,122,52.46,NLM,2024
Worcester,20,6,11,2,56,69.64,NLM,2024
Allegany,99,26,16,11,274,55.47,Libertarian,2024
Anne Arundel,817,411,280,94,2491,64.31,Libertarian,2024
Baltimore City,324,87,94,82,1254,46.81,Libertarian,2024
Baltimore County,909,399,271,98,2699,62.13,Libertarian,2024
Calvert,140,117,43,14,452,69.47,Libertarian,2024
Caroline,40,20,9,3,124,58.06,Libertarian,2024
Carroll,366,147,66,18,853,69.99,Libertarian,2024
Cecil,185,72,30,13,481,62.37,Libertarian,2024
Charles,121,90,33,23,448,59.6,Libertarian,2024
Dorchester,32,17,3,5,110,51.82,Libertarian,2024
Frederick,481,187,124,33,1252,65.89,Libertarian,2024
Garrett,35,25,5,1,106,62.26,Libertarian,2024
Harford,466,281,106,32,1281,69.09,Libertarian,2024
Howard,321,181,98,27,959,65.38,Libertarian,2024
Kent,27,6,4,1,71,53.52,Libertarian,2024
Montgomery,690,374,323,109,2481,60.3,Libertarian,2024
Prince George's,389,216,152,101,1648,52.06,Libertarian,2024
Queen Anne's,88,57,13,7,237,69.62,Libertarian,2024
Saint Mary's,164,117,54,10,517,66.73,Libertarian,2024
Somerset,26,14,6,5,76,67.11,Libertarian,2024
Talbot,54,40,17,2,174,64.94,Libertarian,2024
Washington,227,104,51,22,662,61.03,Libertarian,2024
Wicomico,119,68,30,16,381,61.15,Libertarian,2024
Worcester,85,46,21,6,246,64.23,Libertarian,2024
Allegany,140,64,31,16,495,50.71,Other,2024
Anne Arundel,881,583,395,124,3678,53.92,Other,2024
Baltimore City,803,306,224,528,5020,37.07,Other,2024
Baltimore County,1585,1079,520,218,6892,49.36,Other,2024
Calvert,133,156,77,19,630,61.11,Other,2024
Caroline,68,24,19,3,222,51.35,Other,2024
Carroll,356,273,106,28,1187,64.28,Other,2024
Cecil,193,142,66,12,810,50.99,Other,2024
Charles,248,183,86,36,1092,50.64,Other,2024
Dorchester,65,40,11,4,252,47.62,Other,2024
Frederick,427,201,143,57,1468,56.4,Other,2024
Garrett,41,45,15,4,182,57.69,Other,2024
Harford,528,414,124,46,2002,55.54,Other,2024
Howard,577,416,192,47,2148,57.36,Other,2024
Kent,44,28,8,2,126,65.08,Other,2024
Montgomery,1432,1012,634,246,6031,55.12,Other,2024
Prince George's,1529,1214,432,299,11549,30.08,Other,2024
Queen Anne's,83,95,26,8,328,64.63,Other,2024
Saint Mary's,203,174,49,13,726,60.47,Other,2024
Somerset,28,26,15,12,149,54.36,Other,2024
Talbot,58,66,24,3,242,62.4,Other,2024
Washington,203,179,82,43,985,51.47,Other,2024
Wicomico,169,121,51,23,798,45.61,Other,2024
Worcester,143,87,73,15,499,63.73,Other,2024
Allegany,3082,908,815,342,8730,58.96,Unaffiliated,2024
Anne Arundel,28115,19236,17908,3490,103458,66.45,Unaffiliated,2024
Baltimore City,13517,5057,6434,3764,63722,45.15,Unaffiliated,2024
Baltimore County,31800,17817,17001,4550,118059,60.28,Unaffiliated,2024
Calvert,4081,4169,2379,359,16229,67.71,Unaffiliated,2024
Caroline,1621,732,383,80,4791,58.78,Unaffiliated,2024
Carroll,10044,5789,4018,624,29928,68.41,Unaffiliated,2024
Cecil,4993,2724,1721,386,16965,57.91,Unaffiliated,2024
Charles,6719,4892,2724,796,24603,61.5,Unaffiliated,2024
Dorchester,1276,591,392,85,4257,55.06,Unaffiliated,2024
Frederick,17303,9555,7425,1440,52988,67.42,Unaffiliated,2024
Garrett,966,485,309,51,3010,60.17,Unaffiliated,2024
Harford,14141,9054,5389,931,44122,66.89,Unaffiliated,2024
Howard,18172,12569,10476,1702,61796,69.45,Unaffiliated,2024
Kent,920,509,337,76,2764,66.64,Unaffiliated,2024
Montgomery,44232,30907,31759,7335,170306,67.08,Unaffiliated,2024
Prince George's,21601,15625,11407,5174,99412,54.13,Unaffiliated,2024
Queen Anne's,2600,2156,1073,191,8753,68.78,Unaffiliated,2024
Saint Mary's,5124,4099,2170,427,17785,66.46,Unaffiliated,2024
Somerset,677,382,198,132,2514,55.25,Unaffiliated,2024
Talbot,1546,1393,998,151,5905,69.23,Unaffiliated,2024
Washington,6672,4087,2594,663,23635,59.3,Unaffiliated,2024
Wicomico,4205,2421,1397,457,14836,57.16,Unaffiliated,2024
Worcester,2881,1530,1161,210,9070,63.75,Unaffiliated,2024
Allegany,9,2,2,1,56,25,Green,2024
Anne Arundel,99,38,80,27,465,52.47,Green,2024
Baltimore City,134,35,90,40,736,40.63,Green,2024
Baltimore County,165,57,104,40,711,51.48,Green,2024
Calvert,22,3,7,1,64,51.56,Green,2024
Caroline,7,5,3,0,26,57.69,Green,2024
Carroll,37,20,19,4,137,58.39,Green,2024
Cecil,23,7,4,1,72,48.61,Green,2024
Charles,32,15,12,7,109,60.55,Green,2024
Dorchester,2,2,3,0,16,43.75,Green,2024
Frederick,57,24,29,10,232,51.72,Green,2024
Garrett,6,1,1,2,18,55.56,Green,2024
Harford,44,21,30,5,164,60.98,Green,2024
Howard,54,29,39,19,264,53.41,Green,2024
Kent,5,1,0,0,14,42.86,Green,2024
Montgomery,169,111,145,63,855,57.08,Green,2024
Prince George's,107,59,74,59,637,46.94,Green,2024
Queen Anne's,18,5,6,2,43,72.09,Green,2024
Saint Mary's,19,10,5,3,66,56.06,Green,2024
Somerset,4,1,1,2,17,47.06,Green,2024
Talbot,4,4,3,1,24,50,Green,2024
Washington,30,14,21,4,127,54.33,Green,2024
Wicomico,9,15,8,5,68,54.41,Green,2024
Worcester,12,3,3,0,42,42.86,Green,2024
