 County,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,Turnout Percentage,Party,Year
Worcester,2,0,3,0,12,41.67,Working Class Party,2020
Allegany,77,60,94,5,395,59.75,Other,2020
Anne Arundel,257,511,948,161,"2,715",69.13,Other,2020
Baltimore City,265,286,628,229,"3,289",42.81,Other,2020
Baltimore County,551,"1,104","1,779",123,"5,872",60.58,Other,2020
Calvert,98,85,164,8,567,62.61,Other,2020
Caroline,38,40,23,6,163,65.64,Other,2020
Carroll,193,225,323,13,"1,072",70.34,Other,2020
Cecil,123,131,154,18,727,58.6,Other,2020
Charles,74,146,216,12,763,58.72,Other,2020
Dorchester,23,41,24,1,148,60.14,Other,2020
Frederick,109,123,243,26,801,62.55,Other,2020
Garrett,14,54,39,2,154,70.78,Other,2020
Harford,200,416,383,36,"1,535",67.43,Other,2020
Howard,154,468,727,24,"2,035",67.47,Other,2020
Kent,15,28,34,6,116,71.55,Other,2020
Montgomery,367,839,"2,738",152,"5,816",70.43,Other,2020
Prince George's,541,"1,324","1,994",211,"11,179",36.41,Other,2020
Queen Anne's,36,86,61,5,280,67.14,Other,2020
Saint Mary's,110,132,133,7,606,63.04,Other,2020
Somerset,10,31,15,4,94,63.83,Other,2020
Talbot,20,73,78,5,248,70.97,Other,2020
Washington,150,93,223,15,875,54.97,Other,2020
Wicomico,92,136,122,18,646,56.97,Other,2020
Worcester,55,131,114,16,440,71.82,Other,2020
Allegany,"1,772","1,096","1,143",169,"7,674",54.47,Unaffiliated,2020
Anne Arundel,"9,041","20,898","29,588","2,246","90,162",68.51,Unaffiliated,2020
Baltimore City,"3,983","6,119","13,414","1,796","52,450",48.26,Unaffiliated,2020
Baltimore County,"10,791","18,921","30,274","2,319","100,576",61.95,Unaffiliated,2020
Calvert,"2,578","2,317","3,836",118,"14,178",62.41,Unaffiliated,2020
Caroline,838,"1,068",622,86,"4,208",62.12,Unaffiliated,2020
Carroll,"5,244","5,679","6,778",393,"25,770",70.21,Unaffiliated,2020
Cecil,"3,179","2,623","2,649",212,"15,110",57.33,Unaffiliated,2020
Charles,"2,189","4,917","5,157",512,"19,849",64.36,Unaffiliated,2020
Dorchester,569,774,555,36,"3,348",57.77,Unaffiliated,2020
Frederick,"6,192","10,240","12,910",922,"42,961",70.45,Unaffiliated,2020
Garrett,336,792,423,55,"2,600",61.77,Unaffiliated,2020
Harford,"5,457","11,157","9,205",794,"37,942",70.14,Unaffiliated,2020
Howard,"4,230","12,776","20,975","1,112","51,909",75.31,Unaffiliated,2020
Kent,339,650,539,56,"2,293",69.08,Unaffiliated,2020
Montgomery,"10,340","26,873","65,497","4,262","147,417",72.56,Unaffiliated,2020
Prince George's,"5,955","14,108","23,677","2,815","78,012",59.68,Unaffiliated,2020
Queen Anne's,893,"2,516","1,566",161,"7,133",72,Unaffiliated,2020
Saint Mary's,"2,556","3,516","4,079",254,"15,661",66.44,Unaffiliated,2020
Somerset,376,470,303,71,"2,048",59.57,Unaffiliated,2020
Talbot,562,"1,490","1,517",69,"5,122",71.03,Unaffiliated,2020
Washington,"4,615","2,630","3,811",386,"20,509",55.79,Unaffiliated,2020
Wicomico,"1,952","2,762","2,325",293,"12,291",59.65,Unaffiliated,2020
Worcester,"1,327","1,981","1,602",211,"7,565",67.69,Unaffiliated,2020
Allegany,"15,288","2,305","3,889",535,"43,616",50.48,Statewide,2022
Anne Arundel,"113,571","38,793","60,037","5,914","406,492",53.71,Statewide,2022
Baltimore City,"69,366","22,341","46,946","8,597","395,134",37.27,Statewide,2022
Baltimore County,"135,214","55,691","79,494","7,282","563,463",49.28,Statewide,2022
Calvert,"19,483","8,828","9,003",677,"67,981",55.88,Statewide,2022
Caroline,"7,285","2,045","1,423",128,"21,585",50.41,Statewide,2022
Carroll,"42,989","14,186","14,571","1,135","127,605",57.11,Statewide,2022
Cecil,"20,747","6,237","5,764",637,"70,327",47.47,Statewide,2022
Charles,"29,898","11,872","11,875","1,441","121,087",45.49,Statewide,2022
Dorchester,"7,226","2,045","2,232",164,"22,674",51.46,Statewide,2022
Frederick,"64,066","15,940","25,142","2,588","195,785",55.03,Statewide,2022
Garrett,"7,213","2,387","1,722",158,"20,396",56.29,Statewide,2022
Harford,"61,202","22,478","18,947","1,786","189,160",55.2,Statewide,2022
Howard,"68,097","26,463","34,121","3,057","229,524",57.4,Statewide,2022
Kent,"4,703","1,927","1,804",170,"13,869",62.04,Statewide,2022
Montgomery,"158,641","55,717","118,530","13,879","673,373",51.5,Statewide,2022
Prince George's,"111,256","52,018","68,990","10,735","598,407",40.61,Statewide,2022
Queen Anne's,"12,613","6,266","3,795",437,"39,194",58.97,Statewide,2022
Saint Mary's,"20,875","9,049","7,339",796,"75,342",50.51,Statewide,2022
Somerset,"4,308","1,396","1,110",145,"14,112",49.31,Statewide,2022
Talbot,"8,159","5,243","4,229",241,"28,500",62.71,Statewide,2022
Washington,"31,156","7,362","10,052",915,"99,137",49.92,Statewide,2022
Wicomico,"18,096","6,123","6,063",709,"65,277",47.48,Statewide,2022
Worcester,"14,701","4,162","4,912",492,"42,116",57.62,Statewide,2022
Allegany,"3,365",666,"1,877",213,"11,793",51.9,Democrat,2022
Anne Arundel,"41,882","18,027","35,379","3,046","173,922",56.54,Democrat,2022
Baltimore City,"55,852","19,985","41,411","6,527","303,620",40.77,Democrat,2022
Baltimore County,"66,892","33,281","55,184","4,484","309,297",51.68,Democrat,2022
Calvert,"5,538","3,081","4,853",272,"23,779",57.8,Democrat,2022
Caroline,"1,598",660,694,40,"6,250",47.87,Democrat,2022
Carroll,"8,816","4,024","7,096",353,"33,572",60.43,Democrat,2022
Cecil,"4,813","1,779","2,856",229,"20,666",46.83,Democrat,2022
Charles,"17,442","7,897","8,774",969,"74,373",47.17,Democrat,2022
Dorchester,"2,168",915,"1,370",72,"9,608",47.1,Democrat,2022
Frederick,"21,320","6,696","15,546","1,269","76,712",58.44,Democrat,2022
Garrett,923,475,724,30,"3,719",57.87,Democrat,2022
Harford,"17,283","8,077","9,998",729,"65,127",55.41,Democrat,2022
Howard,"33,160","15,554","23,004","1,814","120,954",60.79,Democrat,2022
Kent,"1,559",992,"1,177",74,"5,865",64.83,Democrat,2022
Montgomery,"95,724","38,599","89,466","9,383","409,636",56.92,Democrat,2022
Prince George's,"89,815","45,659","59,567","8,668","462,097",44.08,Democrat,2022
Queen Anne's,"2,833","1,873","1,971",135,"11,102",61.36,Democrat,2022
Saint Mary's,"5,706","2,722","3,909",360,"25,474",49.84,Democrat,2022
Somerset,"1,334",439,598,77,"5,593",43.77,Democrat,2022
Talbot,"2,374","2,069","2,362",99,"10,803",63.91,Democrat,2022
Washington,"7,680","2,329","5,225",364,"31,402",49.67,Democrat,2022
Wicomico,"5,612","2,716","3,494",336,"26,749",45.45,Democrat,2022
Worcester,"3,880","1,314","2,492",155,"13,864",56.56,Democrat,2022
Allegany,"9,991","1,354","1,512",196,"22,732",57.42,Republican,2022
Anne Arundel,"48,607","14,604","12,687","1,501","129,893",59.59,Republican,2022
Baltimore City,"5,391",896,"1,880",418,"28,211",30.43,Republican,2022
Baltimore County,"45,900","16,091","13,486","1,513","137,378",56.04,Republican,2022
Calvert,"10,116","4,491","2,608",249,"27,912",62.57,Republican,2022
Caroline,"4,589","1,187",494,63,"10,539",60.09,Republican,2022
Carroll,"26,154","8,071","4,970",523,"63,771",62.28,Republican,2022
Cecil,"12,120","3,541","1,979",274,"31,961",56.05,Republican,2022
Charles,"8,021","2,692","1,660",226,"23,334",53.99,Republican,2022
Dorchester,"4,155",944,632,62,"8,965",64.62,Republican,2022
Frederick,"29,313","6,408","5,344",705,"68,334",61.13,Republican,2022
Garrett,"5,593","1,710",836,97,"13,584",60.63,Republican,2022
Harford,"32,962","11,285","5,668",650,"80,005",63.2,Republican,2022
Howard,"19,145","6,038","4,927",499,"49,011",62.45,Republican,2022
Kent,"2,400",674,413,57,"5,221",67.88,Republican,2022
Montgomery,"30,036","8,273","10,705","1,647","97,505",51.96,Republican,2022
Prince George's,"8,301","2,729","3,051",549,"37,739",38.77,Republican,2022
Queen Anne's,"7,505","3,572","1,219",203,"19,579",63.84,Republican,2022
Saint Mary's,"11,305","5,018","2,207",275,"31,793",59.15,Republican,2022
Somerset,"2,474",833,368,52,"6,009",62.02,Republican,2022
Talbot,"4,326","2,458","1,121",80,"11,698",68.26,Republican,2022
Washington,"18,422","4,081","3,074",339,"43,995",58.91,Republican,2022
Wicomico,"9,553","2,654","1,724",233,"23,897",59.27,Republican,2022
Worcester,"8,399","2,254","1,634",217,"19,122",65.39,Republican,2022
Allegany,9,1,8,1,76,25,Green,2022
Anne Arundel,109,24,74,14,632,34.97,Green,2022
Baltimore City,116,14,78,32,908,26.43,Green,2022
Baltimore County,152,13,86,24,898,30.62,Green,2022
Calvert,23,1,5,2,94,32.98,Green,2022
Caroline,10,1,3,0,34,41.18,Green,2022
Carroll,36,11,16,4,191,35.08,Green,2022
Cecil,26,2,5,5,111,34.23,Green,2022
Charles,22,6,13,2,129,33.33,Green,2022
Dorchester,6,0,4,0,22,45.45,Green,2022
Frederick,65,11,25,3,318,32.7,Green,2022
Garrett,5,0,4,0,24,37.5,Green,2022
Harford,56,8,22,0,238,36.13,Green,2022
Howard,72,10,36,4,351,34.76,Green,2022
Kent,4,3,0,1,20,40,Green,2022
Montgomery,186,46,130,18,"1,113",34.14,Green,2022
Prince George's,81,16,56,7,789,20.28,Green,2022
Queen Anne's,10,3,1,0,44,31.82,Green,2022
Saint Mary's,22,5,4,4,109,32.11,Green,2022
Somerset,4,0,3,0,24,29.17,Green,2022
Talbot,5,4,8,0,39,43.59,Green,2022
Washington,31,10,16,4,169,36.09,Green,2022
Wicomico,17,5,12,2,105,34.29,Green,2022
Worcester,10,1,4,1,56,28.57,Green,2022
Allegany,47,5,14,5,223,31.84,Libertarian,2022
Anne Arundel,570,95,218,43,"2,257",41.03,Libertarian,2022
Baltimore City,153,21,60,19,"1,080",23.43,Libertarian,2022
Baltimore County,595,122,180,44,"2,493",37.75,Libertarian,2022
Calvert,103,27,37,7,410,42.44,Libertarian,2022
Caroline,29,4,10,0,108,39.81,Libertarian,2022
Carroll,260,37,58,8,797,45.55,Libertarian,2022
Cecil,131,18,24,7,447,40.27,Libertarian,2022
Charles,87,22,24,11,425,33.88,Libertarian,2022
Dorchester,33,6,4,0,110,39.09,Libertarian,2022
Frederick,366,36,71,19,"1,147",42.89,Libertarian,2022
Garrett,32,5,7,1,101,44.55,Libertarian,2022
Harford,347,70,70,14,"1,182",42.39,Libertarian,2022
Howard,263,56,70,10,894,44.63,Libertarian,2022
Kent,15,3,1,0,66,28.79,Libertarian,2022
Montgomery,457,77,177,53,"2,227",34.31,Libertarian,2022
Prince George's,150,39,66,22,"1,313",21.1,Libertarian,2022
Queen Anne's,70,22,12,6,223,49.33,Libertarian,2022
Saint Mary's,123,29,24,12,477,39.41,Libertarian,2022
Somerset,24,1,1,0,61,42.62,Libertarian,2022
Talbot,35,18,10,1,139,46.04,Libertarian,2022
Washington,154,21,38,12,614,36.64,Libertarian,2022
Wicomico,80,18,16,6,347,34.58,Libertarian,2022
Worcester,70,12,6,1,212,41.98,Libertarian,2022
Allegany,10,0,7,0,73,23.29,Working Class Party,2022
Anne Arundel,61,9,56,6,434,30.41,Working Class Party,2022
Baltimore City,57,17,61,25,666,24.02,Working Class Party,2022
Baltimore County,52,12,84,5,687,22.27,Working Class Party,2022
Calvert,5,1,12,3,69,30.43,Working Class Party,2022
Caroline,4,0,2,0,40,15,Working Class Party,2022
Carroll,12,3,14,0,102,28.43,Working Class Party,2022
Cecil,8,3,9,3,104,22.12,Working Class Party,2022
Charles,18,3,15,3,143,27.27,Working Class Party,2022
Dorchester,5,1,2,1,33,27.27,Working Class Party,2022
Frederick,30,1,19,3,179,29.61,Working Class Party,2022
Garrett,1,0,1,0,20,10,Working Class Party,2022
Harford,19,6,24,3,202,25.74,Working Class Party,2022
Howard,22,4,21,5,134,38.81,Working Class Party,2022
Kent,3,0,4,0,22,31.82,Working Class Party,2022
Montgomery,45,11,64,15,446,30.27,Working Class Party,2022
Prince George's,64,12,45,10,593,22.09,Working Class Party,2022
Queen Anne's,7,0,4,0,35,31.43,Working Class Party,2022
Saint Mary's,8,4,4,0,88,18.18,Working Class Party,2022
Somerset,0,0,1,0,16,6.25,Working Class Party,2022
Talbot,2,1,0,0,20,15,Working Class Party,2022
Washington,18,0,13,4,124,28.23,Working Class Party,2022
Wicomico,9,2,6,1,106,16.98,Working Class Party,2022
Worcester,3,1,4,0,36,22.22,Working Class Party,2022
Allegany,89,13,11,4,382,30.63,Other,2022
Anne Arundel,553,157,221,67,"2,951",33.82,Other,2022
Baltimore City,347,75,101,516,"3,984",26.08,Other,2022
Baltimore County,"1,062",483,308,47,"5,921",32.09,Other,2022
Calvert,122,60,40,7,548,41.79,Other,2022
Caroline,39,1,8,1,160,30.63,Other,2022
Carroll,278,91,61,15,"1,033",43.08,Other,2022
Cecil,152,55,21,7,678,34.66,Other,2022
Charles,146,49,44,12,864,29.05,Other,2022
Dorchester,41,11,9,1,191,32.46,Other,2022
Frederick,238,58,65,8,"1,060",34.81,Other,2022
Garrett,39,17,7,1,157,40.76,Other,2022
Harford,373,138,67,12,"1,628",36.24,Other,2022
Howard,457,193,88,23,"1,981",38.41,Other,2022
Kent,40,7,8,1,110,50.91,Other,2022
Montgomery,937,289,361,81,"5,468",30.5,Other,2022
Prince George's,936,361,179,88,"10,733",14.57,Other,2022
Queen Anne's,73,36,18,6,295,45.08,Other,2022
Saint Mary's,144,43,36,3,645,35.04,Other,2022
Somerset,24,4,7,2,110,33.64,Other,2022
Talbot,56,31,14,3,219,47.49,Other,2022
Washington,145,50,39,9,857,28.35,Other,2022
Wicomico,117,44,22,8,667,28.64,Other,2022
Worcester,120,51,51,11,454,51.32,Other,2022
Allegany,"1,777",266,460,116,"8,337",31.41,Unaffiliated,2022
Anne Arundel,"21,789","5,877","11,402","1,237","96,403",41.81,Unaffiliated,2022
Baltimore City,"7,450","1,333","3,355","1,060","56,665",23.29,Unaffiliated,2022
Baltimore County,"20,561","5,689","10,166","1,165","106,789",35.19,Unaffiliated,2022
Calvert,"3,576","1,167","1,448",137,"15,169",41.72,Unaffiliated,2022
Caroline,"1,016",192,212,24,"4,454",32.42,Unaffiliated,2022
Carroll,"7,433","1,949","2,356",232,"28,139",42.54,Unaffiliated,2022
Cecil,"3,497",839,870,112,"16,360",32.51,Unaffiliated,2022
Charles,"4,162","1,203","1,345",218,"21,819",31.75,Unaffiliated,2022
Dorchester,818,168,211,28,"3,745",32.71,Unaffiliated,2022
Frederick,"12,734","2,730","4,072",581,"48,035",41.88,Unaffiliated,2022
Garrett,620,180,143,29,"2,791",34.83,Unaffiliated,2022
Harford,"10,162","2,894","3,098",378,"40,778",40.54,Unaffiliated,2022
Howard,"14,978","4,608","5,975",702,"56,199",46.73,Unaffiliated,2022
Kent,682,248,201,37,"2,565",45.54,Unaffiliated,2022
Montgomery,"31,256","8,422","17,627","2,682","156,978",38.21,Unaffiliated,2022
Prince George's,"11,909","3,202","6,026","1,391","85,143",26.46,Unaffiliated,2022
Queen Anne's,"2,115",760,570,87,"7,916",44.62,Unaffiliated,2022
Saint Mary's,"3,567","1,228","1,155",142,"16,756",36.36,Unaffiliated,2022
Somerset,448,119,132,14,"2,299",31.01,Unaffiliated,2022
Talbot,"1,361",662,714,58,"5,582",50.07,Unaffiliated,2022
Washington,"4,706",871,"1,647",183,"21,976",33.7,Unaffiliated,2022
Wicomico,"2,708",684,789,123,"13,406",32.11,Unaffiliated,2022
Worcester,"2,219",529,721,107,"8,372",42.71,Unaffiliated,2022
Allegany,"18,201","7,198","5,634","1,350","43,446",74.54,Statewide,2024
Anne Arundel,"113,836","101,527","83,956","12,766","412,520",75.65,Statewide,2024
Baltimore City,"94,276","52,947","61,925","23,501","399,506",58.23,Statewide,2024
Baltimore County,"157,715","126,138","109,336","21,153","575,365",72.01,Statewide,2024
Calvert,"16,923","23,150","12,624","1,495","69,361",78.13,Statewide,2024
Caroline,"8,212","5,486","2,169",361,"21,960",73.9,Statewide,2024
Carroll,"44,504","34,983","21,077","2,423","129,250",79.68,Statewide,2024
Cecil,"23,492","18,168","9,500","1,570","72,451",72.78,Statewide,2024
Charles,"34,439","34,722","18,752","4,062","125,108",73.52,Statewide,2024
Dorchester,"8,273","5,095","3,040",404,"23,672",71.02,Statewide,2024
Frederick,"67,950","46,371","36,857","5,191","203,331",76.9,Statewide,2024
Garrett,"7,746","5,314","2,471",329,"20,549",77.18,Statewide,2024
Harford,"63,573","55,356","27,661","3,655","192,898",77.89,Statewide,2024
Howard,"67,918","59,647","48,856","6,297","236,641",77.21,Statewide,2024
Kent,"4,922","3,609","2,306",335,"14,126",79.09,Statewide,2024
Montgomery,"172,134","154,582","166,773","27,433","683,515",76.21,Statewide,2024
Prince George's,"128,147","148,969","99,166","28,688","610,390",66.35,Statewide,2024
