LBE,Election Day,Early Voting,Vote By Mail,Provisional,Eligible Voters,TURNOUT,Party
Dorchester,"2,607","1,896","1,730",164,"9,551",66.98%,Democrat
Frederick,"22,842","16,473","20,986","2,212","78,431",79.70%,Democrat
Garrett,947,763,921,41,"3,451",77.43%,Democrat
Harford,"17,820","17,184","13,343","1,421","64,081",77.66%,Democrat
Howard,"31,930","32,407","30,788","3,438","122,630",80.37%,Democrat
Kent,"1,504","1,543","1,378",138,"5,719",79.79%,Democrat
Montgomery,"96,738","96,019","115,788","15,847","403,843",80.33%,Democrat
Prince George's,"94,605","123,541","81,657","20,913","455,749",70.37%,Democrat
Queen Anne's,"2,645","3,278","2,606",228,"11,165",78.43%,Democrat
Saint Mary's,"6,217","6,549","5,330",593,"24,789",75.39%,Democrat
Somerset,"1,436","1,103",745,336,"5,326",67.97%,Democrat
Talbot,"2,340","3,166","2,842",244,"10,534",81.56%,Democrat
Washington,"8,039","6,275","6,964",836,"30,537",72.42%,Democrat
Wicomico,"6,528","5,950","4,602",795,"25,881",69.07%,Democrat
Worcester,"4,176","2,487","3,259",307,"13,586",75.29%,Democrat
TOTAL,"534,580","516,210","498,203","87,295","2,211,316",74.00%,Democrat
Allegany,"11,199","4,578","2,303",549,"23,016",80.94%,Republican
Anne Arundel,"42,244","39,713","18,829","3,332","129,077",80.66%,Republican
Baltimore City,"7,463","2,969","3,167","1,585","29,211",51.98%,Republican
Baltimore County,"46,758","38,175","20,212","4,174","139,293",78.48%,Republican
Calvert,"7,519","11,954","3,798",586,"28,397",84.01%,Republican
Caroline,"4,620","3,419",764,179,"10,830",82.94%,Republican
Carroll,"24,808","20,781","7,442","1,035","63,932",84.57%,Republican
Cecil,"13,002","11,335","3,688",736,"34,984",82.21%,Republican
Charles,"7,229","7,860","2,861",601,"23,363",79.40%,Republican
Dorchester,"4,283","2,546",898,146,"9,456",83.26%,Republican
Frederick,"26,772","19,903","8,070","1,425","68,686",81.78%,Republican
Garrett,"5,745","3,992","1,217",228,"13,758",81.28%,Republican
Harford,"30,493","28,370","8,620","1,209","80,972",84.83%,Republican
Howard,"16,779","13,998","7,186","1,035","48,498",80.41%,Republican
Kent,"2,418","1,519",576,114,"5,411",85.51%,Republican
Montgomery,"28,650","26,037","17,805","3,757","98,946",77.06%,Republican
Prince George's,"9,691","8,190","5,233","2,020","40,327",62.33%,Republican
Queen Anne's,"6,690","8,138","2,008",353,"20,302",84.67%,Republican
Saint Mary's,"10,443","12,883","3,429",636,"32,638",83.92%,Republican
Somerset,"2,254","2,091",520,116,"6,201",80.33%,Republican
Talbot,"3,682","4,606","1,492",169,"11,597",85.79%,Republican
Washington,"16,103","14,338","4,689",905,"44,553",80.88%,Republican
Wicomico,"8,992","7,697","2,496",558,"24,188",81.62%,Republican
Worcester,"7,749","5,745","2,452",436,"19,748",82.96%,Republican
TOTAL,"345,586","300,837","129,755","25,884","1,007,384",79.62%,Republican
Allegany,24,3,8,8,63,68.25%,NLM
Anne Arundel,167,91,155,42,699,65.09%,NLM
Baltimore City,135,40,113,103,698,56.02%,NLM
Baltimore County,188,78,174,83,864,60.53%,NLM
Calvert,23,14,32,5,95,77.89%,NLM
Caroline,11,2,2,1,31,51.61%,NLM
Carroll,27,18,25,5,122,61.48%,NLM
Cecil,31,8,29,4,126,57.14%,NLM
Charles,36,20,37,19,160,70.00%,NLM
Dorchester,8,3,3,0,30,46.67%,NLM
Frederick,68,28,80,14,274,69.34%,NLM
Garrett,6,3,3,2,24,58.33%,NLM
Harford,81,32,49,11,276,62.68%,NLM
Howard,85,47,77,29,346,68.79%,NLM
Kent,4,3,3,4,21,66.67%,NLM
Montgomery,223,122,319,76,"1,053",70.28%,NLM
Prince George's,225,124,211,122,"1,068",63.86%,NLM
Queen Anne's,13,8,11,2,48,70.83%,NLM
Saint Mary's,26,13,23,8,107,65.42%,NLM
Somerset,7,0,1,5,19,68.42%,NLM
Talbot,3,7,6,0,32,50.00%,NLM
Washington,35,15,30,6,149,57.72%,NLM
Wicomico,24,14,14,12,122,52.46%,NLM
Worcester,20,6,11,2,56,69.64%,NLM
TOTAL,"1,470",699,"1,416",563,"6,483",51.08%,NLM
Allegany,99,26,16,11,274,55.47%,Libertarian
Anne Arundel,817,411,280,94,"2,491",64.31%,Libertarian
Baltimore City,324,87,94,82,"1,254",46.81%,Libertarian
Baltimore County,909,399,271,98,"2,699",62.13%,Libertarian
Calvert,140,117,43,14,452,69.47%,Libertarian
Caroline,40,20,9,3,124,58.06%,Libertarian
Carroll,366,147,66,18,853,69.99%,Libertarian
Cecil,185,72,30,13,481,62.37%,Libertarian
Charles,121,90,33,23,448,59.60%,Libertarian
Dorchester,32,17,3,5,110,51.82%,Libertarian
Frederick,481,187,124,33,"1,252",65.89%,Libertarian
Garrett,35,25,5,1,106,62.26%,Libertarian
Harford,466,281,106,32,"1,281",69.09%,Libertarian
Howard,321,181,98,27,959,65.38%,Libertarian
Kent,27,6,4,1,71,53.52%,Libertarian
Montgomery,690,374,323,109,"2,481",60.30%,Libertarian
Prince George's,389,216,152,101,"1,648",52.06%,Libertarian
Queen Anne's,88,57,13,7,237,69.62%,Libertarian
Saint Mary's,164,117,54,10,517,66.73%,Libertarian
Somerset,26,14,6,5,76,67.11%,Libertarian
Talbot,54,40,17,2,174,64.94%,Libertarian
Washington,227,104,51,22,662,61.03%,Libertarian
Wicomico,119,68,30,16,381,61.15%,Libertarian
Worcester,85,46,21,6,246,64.23%,Libertarian
TOTAL,"6,205","3,102","1,849",733,"19,277",61.67%,Libertarian
Allegany,140,64,31,16,495,50.71%,Other
Anne Arundel,881,583,395,124,"3,678",53.92%,Other
Baltimore City,803,306,224,528,"5,020",37.07%,Other
Baltimore County,"1,585","1,079",520,218,"6,892",49.36%,Other
Calvert,133,156,77,19,630,61.11%,Other
Caroline,68,24,19,3,222,51.35%,Other
Carroll,356,273,106,28,"1,187",64.28%,Other
Cecil,193,142,66,12,810,50.99%,Other
Charles,248,183,86,36,"1,092",50.64%,Other
Dorchester,65,40,11,4,252,47.62%,Other
Frederick,427,201,143,57,"1,468",56.40%,Other
Garrett,41,45,15,4,182,57.69%,Other
Harford,528,414,124,46,"2,002",55.54%,Other
Howard,577,416,192,47,"2,148",57.36%,Other
Kent,44,28,8,2,126,65.08%,Other
Montgomery,"1,432","1,012",634,246,"6,031",55.12%,Other
Prince George's,"1,529","1,214",432,299,"11,549",30.08%,Other
Queen Anne's,83,95,26,8,328,64.63%,Other
Saint Mary's,203,174,49,13,726,60.47%,Other
Somerset,28,26,15,12,149,54.36%,Other
Talbot,58,66,24,3,242,62.40%,Other
Washington,203,179,82,43,985,51.47%,Other
Wicomico,169,121,51,23,798,45.61%,Other
Worcester,143,87,73,15,499,63.73%,Other
TOTAL,"9,937","6,928","3,403","1,806","47,511",46.46%,Other
Allegany,"3,082",908,815,342,"8,730",58.96%,Unaffiliated
Anne Arundel,"28,115","19,236","17,908","3,490","103,458",66.45%,Unaffiliated
Baltimore City,"13,517","5,057","6,434","3,764","63,722",45.15%,Unaffiliated
Baltimore County,"31,800","17,817","17,001","4,550","118,059",60.28%,Unaffiliated
Calvert,"4,081","4,169","2,379",359,"16,229",67.71%,Unaffiliated
Caroline,"1,621",732,383,80,"4,791",58.78%,Unaffiliated
Carroll,"10,044","5,789","4,018",624,"29,928",68.41%,Unaffiliated
Cecil,"4,993","2,724","1,721",386,"16,965",57.91%,Unaffiliated
Charles,"6,719","4,892","2,724",796,"24,603",61.50%,Unaffiliated
Dorchester,"1,276",591,392,85,"4,257",55.06%,Unaffiliated
Frederick,"17,303","9,555","7,425","1,440","52,988",67.42%,Unaffiliated
Garrett,966,485,309,51,"3,010",60.17%,Unaffiliated
Harford,"14,141","9,054","5,389",931,"44,122",66.89%,Unaffiliated
Howard,"18,172","12,569","10,476","1,702","61,796",69.45%,Unaffiliated
Kent,920,509,337,76,"2,764",66.64%,Unaffiliated
Montgomery,"44,232","30,907","31,759","7,335","170,306",67.08%,Unaffiliated
Prince George's,"21,601","15,625","11,407","5,174","99,412",54.13%,Unaffiliated
Queen Anne's,"2,600","2,156","1,073",191,"8,753",68.78%,Unaffiliated
Saint Mary's,"5,124","4,099","2,170",427,"17,785",66.46%,Unaffiliated
Somerset,677,382,198,132,"2,514",55.25%,Unaffiliated
Talbot,"1,546","1,393",998,151,"5,905",69.23%,Unaffiliated
Washington,"6,672","4,087","2,594",663,"23,635",59.30%,Unaffiliated
Wicomico,"4,205","2,421","1,397",457,"14,836",57.16%,Unaffiliated
Worcester,"2,881","1,530","1,161",210,"9,070",63.75%,Unaffiliated
TOTAL,"246,288","156,687","130,468","33,416","907,638",62.45%,Unaffiliated
Allegany,9,2,2,1,56,25.00%,Green
Anne Arundel,99,38,80,27,465,52.47%,Green
Baltimore City,134,35,90,40,736,40.63%,Green
Baltimore County,165,57,104,40,711,51.48%,Green
Calvert,22,3,7,1,64,51.56%,Green
Caroline,7,5,3,0,26,57.69%,Green
Carroll,37,20,19,4,137,58.39%,Green
Cecil,23,7,4,1,72,48.61%,Green
Charles,32,15,12,7,109,60.55%,Green
Dorchester,2,2,3,0,16,43.75%,Green
Frederick,57,24,29,10,232,51.72%,Green
Garrett,6,1,1,2,18,55.56%,Green
Harford,44,21,30,5,164,60.98%,Green
Howard,54,29,39,19,264,53.41%,Green
Kent,5,1,0,0,14,42.86%,Green
Montgomery,169,111,145,63,855,57.08%,Green
Prince George's,107,59,74,59,637,46.94%,Green
Queen Anne's,18,5,6,2,43,72.09%,Green
Saint Mary's,19,10,5,3,66,56.06%,Green
Somerset,4,1,1,2,17,47.06%,Green
Talbot,4,4,3,1,24,50.00%,Green
Washington,30,14,21,4,127,54.33%,Green
Wicomico,9,15,8,5,68,54.41%,Green
Worcester,12,3,3,0,42,42.86%,Green
TOTAL,"1,068",482,689,296,"4,963",51.08%,Green
